ServiceNo,Direction,StopSequence,BusStopCode
107,2,38,63349
107,2,39,63359
107,2,40,64399
107,2,41,64009
107M,1,1,64009
107M,1,2,64391
107M,1,3,63351
107M,1,4,63341
107M,1,5,63059
107M,1,6,63049
107M,1,7,63039
107M,1,8,63029
107M,1,9,63019
107M,1,10,62149
107M,1,11,62139
107M,1,12,62129
107M,1,13,62119
107M,1,14,61049
107M,1,15,61039
107M,1,16,61111
107M,1,17,61019
107M,1,18,60269
107M,1,19,60209
107M,1,20,60179
107M,1,21,60221
107M,1,22,60039
107M,1,23,60029
107M,1,24,60019
107M,1,25,07369
107M,1,26,07379
107M,1,27,01319
107M,1,28,01219
107M,1,29,01239
107M,1,30,01529
107M,1,31,01519
107M,1,32,01629
107M,1,33,01619
107M,1,34,02089
107M,1,35,02169
107M,1,36,02141
107M,1,37,01511
107M,1,38,01521
107M,1,39,01231
107M,1,40,01211
107M,1,41,01311
107M,1,42,07371
107M,1,43,60011
107M,1,44,60021
107M,1,45,60031
107M,1,46,60229
107M,1,47,60159
107M,1,51,60161
107M,1,52,60201
107M,1,53,60261
107M,1,54,61119
107M,1,55,61031
107M,1,56,61041
107M,1,57,62111
107M,1,58,62121
107M,1,59,62131
107M,1,60,62141
107M,1,61,63011
107M,1,62,63021
107M,1,63,63031
107M,1,64,63041
107M,1,65,63051
107M,1,66,63349
107M,1,67,63359
107M,1,68,64399
107M,1,69,64009
109,1,1,66009
109,1,2,66361
109,1,3,66041
109,1,4,66051
109,1,5,63361
109,1,6,63181
109,1,7,63191
109,1,8,63201
109,1,9,63211
109,1,10,64101
109,1,11,64491
109,1,12,64481
109,1,13,64471
109,1,14,64601
109,1,15,64611
109,1,16,64469
109,1,17,64629
109,1,18,67459
109,1,19,67469
109,1,20,67279
109,1,21,67449
109,1,22,67419
109,1,23,67599
109,1,24,65199
109,1,25,77339
109,1,26,77289
109,1,27,77239
109,1,28,77249
109,1,29,78049
109,1,30,77019
109,1,31,77029
109,1,32,77039
109,1,33,77049
109,1,34,77059
109,1,35,78069
109,1,36,78059
109,1,37,98111
109,1,38,98109
109,1,39,98031
109,1,40,98041
109,1,41,98231
109,1,42,98051
109,1,43,98061
109,1,44,98071
109,1,45,99011
109,1,46,99021
109,1,47,99031
109,1,48,99041
109,1,49,99139
109,1,50,99009
109,2,1,99009
109,2,2,99131
109,2,3,99049
109,2,4,99039
109,2,5,99029
109,2,6,99019
109,2,7,98079
109,2,8,98069
109,2,9,98059
109,2,10,98239
109,2,11,98049
109,2,12,98039
109,2,13,98101
109,2,14,98119
109,2,15,78051
109,2,16,78061
109,2,17,77051
109,2,18,77041
109,2,19,77031
109,2,20,77021
109,2,21,77011
109,2,22,77241
109,2,23,77231
109,2,24,77281
109,2,25,77331
109,2,26,65191
109,2,27,67591
109,2,28,67411
109,2,29,67441
109,2,30,67271
109,2,31,67461
109,2,32,67451
109,2,33,64621
109,2,34,64461
109,2,35,64619
109,2,36,64609
109,2,37,64479
109,2,38,64489
109,2,39,64499
109,2,40,64109
109,2,41,63219
109,2,42,63209
109,2,43,63199
109,2,44,63189
109,2,45,63179
109,2,46,63369
109,2,47,66059
109,2,48,66049
109,2,49,66369
109,2,50,66389
109,2,51,66009
109A,1,1,66009
109A,1,2,66361
109A,1,3,66041
109A,1,4,66051
109A,1,5,63361
109A,1,6,63181
109A,1,7,63191
109A,1,8,63201
109A,1,9,63211
109A,1,10,64101
109A,1,11,64491
109A,1,12,64481
109A,1,13,64471
109A,1,14,64601
109A,1,15,64611
10e,1,1,85049
